model,element,alat,C11,C12,C44
DFT,W,3.1854,516.0,198.0,140.0
DFT,Nb,3.322,250.0,135.0,21.0
DFT,Mo,3.163,477.0,155.0,111.0
mace-mp0b3-medium,W,3.2035809826787007, 356.1995615720488, 247.895315294212, 82.44876802752209
mace-mp0b3-medium,Nb,3.3208814746618858, 197.14156212680896, 114.33397327792865, 2.3244740902569307
mace-mp0b3-medium,Mo,3.1826777359610503, 251.5993632127501, 189.75655329911376, 48.04570690644791
mace-mp0b3-medium_ft,W,3.1907246516768963, 545.8696109016181, 203.94353583024028, 151.2353856747871
mp-alex,W,3.174713,587.521555,258.657299,143.152639
mp-alex,Mo,3.151221,517.357714,203.500909,86.904605
mp-alex,Nb,3.317026,234.920872,120.754315,-15.886924